Movie_Title,Genre,Rating,Votes,Popularity_Score,Region,Gross_Proxy
Tere Ishk Mein,Action,6.8,28000.0,190400.0,Bollywood,190400.0
Mission: Impossible - The Final Reckoning,Action,7.2,213000.0,1533600.0,Others,1533600.0
Casino Royale,Action,8.0,737000.0,5896000.0,Hollywood,5896000.0
Caught Stealing,Action,6.9,67000.0,462300.0,Bollywood,462300.0
Killer Whale,Action,3.6,2000.0,7200.0,Bollywood,7200.0
The Hunger Games,Action,7.2,1100000.0,7920000.0,Hollywood,7920000.0
The Toxic Avenger,Action,5.9,15000.0,88500.0,Bollywood,88500.0
Zootopia,Action,8.0,619000.0,4952000.0,Hollywood,4952000.0
Relay,Action,7.0,28000.0,196000.0,Bollywood,196000.0
How to Train Your Dragon,Action,7.7,120000.0,924000.0,Bollywood,924000.0
Spectre,Action,6.8,492000.0,3345600.0,Others,3345600.0
Heat,Action,8.3,791000.0,6565300.000000001,Hollywood,6565300.000000001
The Tomorrow War,Action,6.6,251000.0,1656600.0,Others,1656600.0
The Rip,Drama,6.8,75000.0,510000.0,Bollywood,510000.0
Sinners,Drama,7.5,376000.0,2820000.0,Others,2820000.0
One Battle After Another,Drama,7.8,299000.0,2332200.0,Others,2332200.0
The Housemaid,Drama,7.0,44000.0,308000.0,Bollywood,308000.0
Marty Supreme,Drama,8.2,52000.0,426399.99999999994,Bollywood,426399.99999999994
Mercy,Drama,6.2,5900.0,36580.0,Bollywood,36580.0
Hamnet,Drama,8.1,23000.0,186300.0,Bollywood,186300.0
Return to Silent Hill,Drama,4.2,4700.0,19740.0,Bollywood,19740.0
Train Dreams,Drama,7.6,61000.0,463600.0,Bollywood,463600.0
Sentimental Value,Drama,7.8,38000.0,296400.0,Bollywood,296400.0
Frankenstein,Drama,7.5,249000.0,1867500.0,Others,1867500.0
The Secret Agent,Drama,7.6,17000.0,129200.0,Bollywood,129200.0
Wake Up Dead Man,Drama,7.4,193000.0,1428200.0,Bollywood,1428200.0
Springsteen: Deliver Me from Nowhere,Drama,6.7,19000.0,127300.0,Bollywood,127300.0
F1: The Movie,Drama,7.7,301000.0,2317700.0,Others,2317700.0
Rental Family,Drama,7.7,22000.0,169400.0,Bollywood,169400.0
Nuremberg,Drama,7.4,52000.0,384800.0,Bollywood,384800.0
The Big Fake,Drama,6.6,1600.0,10560.0,Bollywood,10560.0
The Smashing Machine,Drama,6.4,59000.0,377600.0,Bollywood,377600.0
No Other Choice,Drama,7.6,34000.0,258400.0,Bollywood,258400.0
Song Sung Blue,Drama,7.4,11000.0,81400.0,Bollywood,81400.0
Heel,Drama,6.6,231.0,1524.6,Bollywood,1524.6
Dhurandhar,Drama,8.5,103000.0,875500.0,Bollywood,875500.0
Dust Bunny,Drama,6.6,7300.0,48180.0,Bollywood,48180.0
If I Had Legs I'd Kick You,Drama,6.7,16000.0,107200.0,Bollywood,107200.0
Die My Love,Drama,6.1,33000.0,201300.0,Bollywood,201300.0
The Shawshank Redemption,Drama,9.3,3200000.0,29760000.000000004,Hollywood,29760000.000000004
Roofman,Drama,7.0,50000.0,350000.0,Bollywood,350000.0
The Lord of the Rings: The Fellowship of the Ring,Drama,8.9,2200000.0,19580000.0,Hollywood,19580000.0
I Want Your Sex,Drama,6.5,58.0,377.0,Bollywood,377.0
28 Days Later,Drama,7.5,535000.0,4012500.0,Hollywood,4012500.0
The Tank,Drama,6.5,11000.0,71500.0,Bollywood,71500.0
Blue Moon,Drama,6.9,12000.0,82800.0,Bollywood,82800.0
Interstellar,Drama,8.7,2500000.0,21750000.0,Hollywood,21750000.0
The Substance,Drama,7.2,398000.0,2865600.0,Others,2865600.0
Jay Kelly,Drama,6.6,34000.0,224400.0,Bollywood,224400.0
The Life of Chuck,Drama,7.3,56000.0,408800.0,Bollywood,408800.0
It Was Just an Accident,Drama,7.5,19000.0,142500.0,Bollywood,142500.0
The Dark Knight,Drama,9.1,3100000.0,28210000.0,Hollywood,28210000.0
Pillion,Drama,6.8,6000.0,40800.0,Bollywood,40800.0
Knives Out,Drama,7.9,865000.0,6833500.0,Hollywood,6833500.0
The Shadow's Edge,Drama,7.1,7300.0,51830.0,Bollywood,51830.0
The Testament of Ann Lee,Drama,7.1,1700.0,12070.0,Bollywood,12070.0
Eternity,Drama,7.0,34000.0,238000.0,Bollywood,238000.0
